Cases,Generic Remarks
"
N - ಕಡಿಮೆ",ಜಮೀನಿನಲ್ಲಿ ಸಾರಜನಕದ ಅಂಶವು ಸಾಮಾನ್ಯಕ್ಕಿಂತ ಕಡಿಮೆಯಾಗಿದೆ. ಹೆಚ್ಚುವರಿ ಸಾರಜನಕವನ್ನು ವಿಭಜಿತ ಮಧ್ಯಂತರದಲ್ಲಿ ಅನ್ವಯಿಸುವುದರಿಂದ ಸಾರಜನಕದ ಬೆಳೆಗಳ ಬಳಕೆಯ ದಕ್ಷತೆಯನ್ನು ಮತ್ತು ಬೆಳೆಯ ಇಳುವರಿಯನ್ನು ಸುಧಾರಿಸುತ್ತದೆ.
N - ಸಾಮಾನ್ಯ,ಜಮೀನಿನಲ್ಲಿ ಸಾರಜನಕ ಅಂಶವು ಸಾಮಾನ್ಯ ವ್ಯಾಪ್ತಿಯಲ್ಲಿದೆ.
N - ಹೈ,ಜಮೀನಿನಲ್ಲಿ ಸಾರಜನಕದ ಅಂಶವು ಸಾಮಾನ್ಯಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿರುತ್ತದೆ. ಹೆಚ್ಚಿನ ಸಾರಜನಕವನ್ನು ಹೀರುವ  ಬೆಳೆಗಳೊಂದಿಗೆ ಬೆಳೆ ಸರದಿ ಯನ್ನು ರೂಢಿಸಬೇಕು ಅಥವಾ ಮರದ ಪುಡಿ/ಮರದ ಚಿಪ್ಸ್ನೊಂದಿಗೆ ಮಲ್ಚಿಂಗ್ ಮಾಡುವ ಮೂಲಕ ಇದನ್ನು ಸರಿಪಡಿಸಬಹುದು. ಇದು ಮಣ್ಣಿನಲ್ಲಿ ಹೆಚ್ಚುವರಿ ಸಾರಜನಕವನ್ನು ಹೀರಿಕೊಳ್ಳಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ.
P - ಕಡಿಮೆ,"ಜಮೀನಿನಲ್ಲಿ ರಂಜಕದ ಅಂಶವು ಸಾಮಾನ್ಯಕ್ಕಿಂತ ಕಡಿಮೆಯಾಗಿದೆ. ಆದ್ದರಿಂದ, ರಂಜಕದ ಮಣ್ಣಿನ ಖನಿಜೀಕರಣದ ದರವನ್ನು ಹೆಚ್ಚಿಸುವ ಹಸಿರು ಗೊಬ್ಬರದ ಉಳಿಕೆಗಳು/ಕಾಂಪೋಸ್ಟ್ ಗೊಬ್ಬರ/ಬೋನ್ ಮೀಲ್  ಸೇರಿಸಬೇಕು."
P - ಸಾಮಾನ್ಯ,ಜಮೀನಿನಲ್ಲಿ ರಂಜಕದ ಪ್ರಮಾಣವು ಪ್ರಮಾಣಿತ ವ್ಯಾಪ್ತಿಯಲ್ಲಿದೆ.
P - ಹೈ,ಜಮೀನಿನಲ್ಲಿ ರಂಜಕದ ಪ್ರಮಾಣವು ಸಾಮಾನ್ಯಕ್ಕಿಂತ ಹೆಚ್ಚಿದೆ ಮತ್ತು ರಂಜಕದ ಬಳಕೆಯನ್ನು ಕಡಿಮೆ ಮಾಡುವ ಮೂಲಕ (ಮುಂದಿನ ಬಿತ್ತನೆ ಋತುವಿಗಾಗಿ) ಸರಿಪಡಿಸಬಹುದು.
K - ಕಡಿಮೆ,ಜಮೀನಿನಲ್ಲಿ ಪೊಟ್ಯಾಸಿಯಮ್ ಅಂಶವು ಕಡಿಮೆಯಾಗಿದೆ ಮತ್ತು ಮ್ಯೂರಿಯೇಟ್ ಆಫ್ ಪೊಟ್ಯಾಶ್ ಅಥವಾ ಸಲ್ಫೇಟ್ ಆಫ್ ಪೊಟ್ಯಾಷ್ ಅನ್ನು ಸೇರಿಸುವ ಮೂಲಕ ಸರಿಪಡಿಸಬಹುದು. ಮಾರುಕಟ್ಟೆಗಳಲ್ಲಿ ಲಭ್ಯವಿರುವ ಮರದ ಬೂದಿ ಮತ್ತು ಕೆಲ್ಪ್/ಕಡಲಕಳೆಗಳಂತಹ ಸಾವಯವ ಮೂಲಗಳಿಂದಲೂ ಇದನ್ನು ಸರಿಪಡಿಸಬಹುದು.
K - ಸಾಮಾನ್ಯ,ಜಮೀನಿನಲ್ಲಿ ಪೊಟ್ಯಾಸಿಯಮ್ ಅಂಶವು ಸಾಮಾನ್ಯ ವ್ಯಾಪ್ತಿಯಲ್ಲಿದೆ.
K - ಹೈ,"ಜಮೀನಿನಲ್ಲಿ ಪೊಟ್ಯಾಸಿಯಮ್ ಅಂಶವು ಸಾಮಾನ್ಯ ಮಿತಿಗಿಂತ ಹೆಚ್ಚಾಗಿರುತ್ತದೆ. ಉಳುಮೆ ಮಾಡಿ ಮಣ್ಣನ್ನು ಸಡಿಲಗೊಳಿಸುವ ಮೂಲಕ ಇದನ್ನು ಸರಿಪಡಿಸಬಹುದು, ಬಿತ್ತನೆ ಮಾಡುವ ಮೊದಲು ಹೆಚ್ಚುವರಿ ಪೊಟ್ಯಾಸಿಯಮ್ ಅನ್ನು ಕರಗಿಸಲು ಮತ್ತು ಹೊರಹಾಕಲು ಸರಿಯಾದ ಒಳಚರಂಡಿಯೊಂದಿಗೆ ಹೊಲವನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ನೀರಾವರಿ ಮಾಡಿ. ಪೊಟ್ಯಾಸಿಯಮ್ ಭರಿತ ರಸಗೊಬ್ಬರಗಳನ್ನು ಸಹ ತಪ್ಪಿಸಿ."
OC - ಕಡಿಮೆ,"ಮಣ್ಣಿನ ಸಾವಯವ ಇಂಗಾಲದ ಪ್ರಮಾಣವು ಸಾಮಾನ್ಯ ಮಿತಿಗಿಂತ ಕಡಿಮೆಯಾಗಿದೆ. ಇದನ್ನು ಬೆಳೆ ತೀವ್ರತೆಯನ್ನು ಹೆಚ್ಚಿಸುವ ಮೂಲಕ ಸರಿಪಡಿಸಬಹುದು, ಇದು ಹೆಚ್ಚಿನ ಜೀವರಾಶಿ ಬೆಳೆಗಳು ಮತ್ತು ಹುಲ್ಲುಗಾವಲುಗಳನ್ನು ಬೆಳೆಯುವ ಮೂಲಕ ಮಣ್ಣಿನಲ್ಲಿ ಸಾವಯವ ಪದಾರ್ಥಗಳ ಮರಳುವಿಕೆಯನ್ನು ಸುಧಾರಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ. ಮಣ್ಣಿಗೆ ಸಾವಯವ ಒಳಹರಿವನ್ನು ಹೆಚ್ಚಿಸುವ ಮೂಲಕವೂ ಇದನ್ನು ನಿರ್ವಹಿಸಬಹುದು."
OC - ಸಾಮಾನ್ಯ,ಜಮೀನಿನಲ್ಲಿ ಮಣ್ಣಿನ ಸಾವಯವ ಇಂಗಾಲದ ಪ್ರಮಾಣವು ಪ್ರಮಾಣಿತ ವ್ಯಾಪ್ತಿಯಲ್ಲಿದೆ.
OC - ಹೈ,ಜಮೀನಿನಲ್ಲಿ ಮಣ್ಣಿನ ಸಾವಯವ ಇಂಗಾಲದ ಪ್ರಮಾಣವು ಸಾಮಾನ್ಯಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿರುತ್ತದೆ. ಮಣ್ಣಿಗೆ ಸಾವಯವ ಒಳಹರಿವನ್ನು ಕಡಿಮೆ ಮಾಡುವ ಮೂಲಕ ಇದನ್ನು ಸರಿಪಡಿಸಬಹುದು.
pH - < 5.5,"ಹೆಚ್ಚು ಆಮ್ಲೀಯ ಮಣ್ಣು. ಸುಣ್ಣದ ಅಪ್ಲಿಕೇಶನ್, ಮಣ್ಣಿನ ಆಮ್ಲೀಯತೆಯನ್ನು ತಟಸ್ಥಗೊಳಿಸುತ್ತದೆ."
pH - 5.6-6.5,"ಮಧ್ಯಮ ಆಮ್ಲೀಯ ಮಣ್ಣು. ಮಣ್ಣು ಮತ್ತು ಅದರ ಪ್ರಕಾರ, ಪ್ರದೇಶ, ನೀರಿನ ಲಭ್ಯತೆ, ಹಿಂದಿನ ಮತ್ತು ಮುಂದಿನ ಬೆಳೆಗಳನ್ನು ಅವಲಂಬಿಸಿ  ಶಿಫಾರಸು ಮಾಡಲಾಗುತ್ತದೆ. ಮುಂದಿನ ಕ್ರಮಕ್ಕಾಗಿ ದಯವಿಟ್ಟು ನಮ್ಮ ತಂಡವನ್ನು ಸಂಪರ್ಕಿಸಿ."
pH - 6.6-6.9,"ಸ್ವಲ್ಪ ಆಮ್ಲೀಯ ಮಣ್ಣು. ಮಣ್ಣು ಮತ್ತು ಅದರ ಪ್ರಕಾರ, ಪ್ರದೇಶ, ನೀರಿನ ಲಭ್ಯತೆ, ಹಿಂದಿನ ಬೆಳೆಗಳು ಮತ್ತು ಮುಂದಿನ ಬೆಳೆಗಳನ್ನು ಅವಲಂಬಿಸಿ ಶಿಫಾರಸು ಮಾಡಲಾಗುತ್ತದೆ. ಮುಂದಿನ ಕ್ರಮಕ್ಕಾಗಿ ದಯವಿಟ್ಟು ನಮ್ಮ ತಂಡವನ್ನು ಸಂಪರ್ಕಿಸಿ."
pH - 7.0-7.5,ತಟಸ್ಥ pH. ಇದು ಅತ್ಯುತ್ತಮ ಸಸ್ಯ ಬೆಳವಣಿಗೆಗೆ ಅಪೇಕ್ಷಣೀಯ ಮಣ್ಣಿನ pH ಆಗಿದೆ.
